,competition,group_name,year,team_manual,_merge
364,WorldCup,dainamite-rc09,2009,,both
119,WorldCup,fcportugal2d-rc09,2009,,both
409,WorldCup,fifty-storms-rc09,2009,storms09,left_only
78,WorldCup,helios-rc09,2009,helios2009,left_only
388,WorldCup,hellibash-rc09,2009,,both
63,WorldCup,kickofftug-rc09,2009,,both
238,WorldCup,leakindrops-rc09,2009,,both
402,WorldCup,lishang-rc09,2009,,both
380,WorldCup,lsuamoynq-rc09,2009,,both
347,WorldCup,ncl-rc09,2009,ncl09,left_only
520,WorldCup,nemesis-rc09,2009,nemesisrc09,left_only
289,WorldCup,opuci-rc09,2009,,both
60,WorldCup,oxblue-rc09,2009,oxblue09,left_only
479,WorldCup,oxsy-rc09,2009,,both
471,WorldCup,robosampad-rc09,2009,,both
7,WorldCup,unknown09-rc09,2009,,both
304,WorldCup,wrighteagle-rc09,2009,,both
103,ChinaOpens,AUA,2010,,left_only
303,ChinaOpens,AUAF,2010,,left_only
76,ChinaOpens,BITSS,2010,,left_only
98,ChinaOpens,CSU_YunLu,2010,,left_only
36,ChinaOpens,Lion-griffin2010,2010,,left_only
29,ChinaOpens,TJNU,2010,,left_only
44,WorldCup,apollo-rc2010,2010,,both
176,WorldCup,aua-rc2010,2010,,both
92,WorldCup,bahia-rc2010,2010,,left_only
222,WorldCup,eskilas-rc2010,2010,,both
390,WorldCup,fcpars-rc2010,2010,,both
30,WorldCup,fcportugal-rc2010,2010,,both
23,WorldCup,fiftystorms-rc2010,2010,,both
167,WorldCup,helios-rc2010,2010,,left_only
215,WorldCup,hfutengine-rc2010,2010,,both
332,WorldCup,iran-rc2010,2010,,both
61,WorldCup,kickofftug-rc2010,2010,,both
180,WorldCup,ncl-rc2010,2010,,left_only
453,WorldCup,nemesis-rc2010,2010,,left_only
203,WorldCup,opuci-rc2010,2010,,both
10,WorldCup,oxsy-rc2010,2010,,both
506,WorldCup,raic-rc2010,2010,,both
77,WorldCup,rione-rc2010,2010,,both
229,WorldCup,unique-rc2010,2010,,both
164,WorldCup,wrighteagle-rc2010,2010,,both
330,ChinaOpens,abit,2011,,both
505,ChinaOpens,amoynq,2011,,both
153,ChinaOpens,apollo2d,2011,,left_only
282,ChinaOpens,aua2d,2011,,both
377,ChinaOpens,bjut,2011,,both
138,ChinaOpens,bluespider,2011,,both
366,ChinaOpens,csu,2011,,left_only
334,ChinaOpens,dreamwing,2011,,left_only
90,ChinaOpens,gdut,2011,,left_only
115,ChinaOpens,hfutengine,2011,,left_only
441,ChinaOpens,miracle,2011,,both
522,ChinaOpens,mpj,2011,,both
301,ChinaOpens,nadco,2011,,both
79,ChinaOpens,riton,2011,,both
2,ChinaOpens,swun,2011,,both
112,ChinaOpens,tjnu,2011,,both
431,ChinaOpens,wonderpines,2011,,both
99,ChinaOpens,wrighteagle,2011,,both
95,ChinaOpens,yushan,2011,,left_only
13,JapanOpens,CMU2011,2011,,both
198,JapanOpens,Fifty-Storms2011_bin,2011,,both
211,JapanOpens,helios-fu-jopen2011,2011,,left_only
195,JapanOpens,helios-jopen2011,2011,,left_only
256,JapanOpens,HillStone_bin,2011,,both
118,JapanOpens,Puppets-JapanOpen2011,2011,,both
481,JapanOpens,Ri-oneJopen2011,2011,,left_only
360,JapanOpens,toyosu_galaxy2011_bin,2011,,both
208,WorldCup,abouali-rc2011,2011,,left_only
245,WorldCup,apollo-rc2011,2011,,both
128,WorldCup,aua-rc2011,2011,,left_only
439,WorldCup,daina-rc2011,2011,,left_only
239,WorldCup,edin-rc2011,2011,,left_only
361,WorldCup,eskilas-rc2011,2011,,both
286,WorldCup,helios-rc2011,2011,,left_only
223,WorldCup,hfut-rc2011,2011,,left_only
105,WorldCup,marlik-rc2011,2011,,both
342,WorldCup,nadco-rc2011,2011,,both
117,WorldCup,oxsy-rc2011,2011,,both
281,WorldCup,photon-rc2011,2011,,both
220,WorldCup,portugal-rc2011,2011,,left_only
227,WorldCup,raic-rc2011,2011,,left_only
322,WorldCup,rione-rc2011,2011,,both
207,WorldCup,rmas-rc2011,2011,,left_only
35,WorldCup,wright-rc2011,2011,,left_only
259,ChinaOpens,apollo2d,2012,,both
410,ChinaOpens,aua2d,2012,,both
413,ChinaOpens,bjut,2012,,both
421,ChinaOpens,csu_yunlu,2012,,both
397,ChinaOpens,dreamwing2d,2012,,both
299,ChinaOpens,gdut_tiji2012,2012,,both
159,ChinaOpens,hfutengine,2012,,left_only
132,ChinaOpens,hfuu-mt,2012,,left_only
355,ChinaOpens,lntu_taac2012,2012,,both
188,ChinaOpens,miracle2012,2012,,both
244,ChinaOpens,tjnu,2012,,both
263,ChinaOpens,tornado,2012,,both
274,ChinaOpens,wonderpines,2012,,both
415,ChinaOpens,wrighteagle,2012,,both
107,ChinaOpens,xmunq,2012,,both
449,ChinaOpens,yushan2012,2012,,both
340,WorldCup,AUT_2D_Source,2012,,both
350,WorldCup,Axiom_Binary_Release2012,2012,,both
344,WorldCup,Axiom_SourceCode_Release2012,2012,,both
32,WorldCup,borregos2d,2012,,both
260,WorldCup,fcportugal2d,2012,,both
217,WorldCup,fcportugal2d_src,2012,,both
510,WorldCup,gdut_tiji,2012,,both
149,WorldCup,gliders2012,2012,,both
422,WorldCup,gpr-2d,2012,,both
62,WorldCup,itandroids,2012,,both
87,WorldCup,marlik,2012,,left_only
298,WorldCup,nadco-2d,2012,,both
291,WorldCup,oxsy,2012,,both
459,WorldCup,ri-one,2012,,both
228,WorldCup,riton,2012,,both
292,WorldCup,robotto_soccer_simulation_2d,2012,,both
456,WorldCup,WarthogRobotics,2012,,both
368,WorldCup,WarthogRobotics-RC2012,2012,,both
102,WorldCup,WrightEagle,2012,,both
246,WorldCup,yushan,2012,,left_only
3,WorldCup,autmasterminds,2013,,both
184,WorldCup,axiom,2013,,both
458,WorldCup,csuyunlu,2013,,left_only
527,WorldCup,cyrus,2013,,both
362,WorldCup,fcperspolis,2013,,both
116,WorldCup,fcportugal,2013,,both
4,WorldCup,gduttiji,2013,,left_only
517,WorldCup,gliders,2013,,left_only
114,WorldCup,gpr2d,2013,,both
49,WorldCup,helios,2013,,left_only
155,WorldCup,hfutengine,2013,,left_only
482,WorldCup,itandroids,2013,,both
328,WorldCup,legendary,2013,,both
507,WorldCup,oxsy,2013,,both
231,WorldCup,rione,2013,,both
423,WorldCup,ubcthunderbots,2013,,both
96,WorldCup,warthog,2013,,left_only
43,WorldCup,wrighteagle,2013,,both
173,WorldCup,yushan,2013,,left_only
34,LARC,expertinos,2014,,both
296,LARC,fcp_gpr_2014,2014,,both
320,LARC,itandroids,2014,,both
371,LARC,nexus2d,2014,,both
315,LARC,pmec_allejos2d,2014,,both
457,LARC,red_dragons,2014,,left_only
445,LARC,robotbulls,2014,,left_only
171,LARC,sirsoccer,2014,,both
18,LARC,tropeiros,2014,,both
374,LARC,ufsj_2d,2014,,left_only
241,LARC,warthog,2014,,left_only
396,LARC,zombie_gear,2014,,both
169,WorldCup,AUTParsianRobocup2014,2014,,both
268,WorldCup,CYRUSRobocup2014,2014,,left_only
120,WorldCup,EnigmaRobocup2014,2014,,both
82,WorldCup,Gliders2014Robocup2014,2014,,both
46,WorldCup,HELIOS2014Robocup2014,2014,,both
323,WorldCup,HERMESRobocup2014,2014,,both
372,WorldCup,HfutEngineRobocup2014,2014,,both
39,WorldCup,InfoGraphicsRobocup2014,2014,,both
295,WorldCup,OxsyRobocup2014,2014,,both
0,WorldCup,Ri-oneRobocup2014,2014,,left_only
81,WorldCup,tokA1_Binary,2014,,both
189,WorldCup,UFSJ2DRobocup2014,2014,,both
185,WorldCup,WrightEagleRobocup2014,2014,,both
27,WorldCup,Yushan2014Robocup2014,2014,,both
480,WorldCup,CSU_Yunlu,2015,,both
145,WorldCup,GDUT-TiJi2015,2015,,both
307,WorldCup,Genius2015,2015,,both
384,WorldCup,Gliders2015,2015,,both
472,WorldCup,HELIOS2015,2015,,both
411,WorldCup,HERMES,2015,,both
199,WorldCup,HfutEngine2015,2015,,both
182,WorldCup,ITAndroids,2015,,both
470,WorldCup,Jaeger,2015,,both
488,WorldCup,MT2015,2015,,both
233,WorldCup,Phonix,2015,,both
137,WorldCup,r3,2015,,left_only
133,WorldCup,Rhoban,2015,,both
370,WorldCup,rione2015-07-21,2015,,both
273,WorldCup,WrightEagle,2015,,both
186,WorldCup,YuShan2015,2015,,both
279,WorldCup,CSU_Yunlu,2016,,both
300,WorldCup,CYRUS,2016,,both
140,WorldCup,FCP_GPR_2014,2016,,both
111,WorldCup,FRA-UNIted,2016,,both
24,WorldCup,Gliders2016,2016,,both
42,WorldCup,HELIOS2016,2016,,both
420,WorldCup,Hermes,2016,,both
179,WorldCup,HfutEngine2016,2016,,both
11,WorldCup,HillStone,2016,,both
12,WorldCup,HillStone,2016,,both
235,WorldCup,ITAndroids,2016,,both
26,WorldCup,LeftEagle,2016,,both
110,WorldCup,MarliK,2016,,left_only
407,WorldCup,MT2016,2016,,both
196,WorldCup,Oxsy,2016,,both
311,WorldCup,Ri-one,2016,,both
14,WorldCup,Shiraz,2016,,left_only
31,WorldCup,WrightEagle2015,2016,,both
