,analizo_acc_mean,analizo_accm_mean,analizo_amloc_mean,analizo_anpm_mean,analizo_cbo_mean,analizo_dit_mean,analizo_lcom4_mean,analizo_mmloc_mean,analizo_noa_mean,analizo_noc_mean,analizo_nom_mean,analizo_npa_mean,analizo_npm_mean,analizo_rfc_mean,analizo_sc_mean,folder,category,agent_type,type
399,0.889473684211,1.61387442203,4.665143272130001,1.33343864835,0.857894736842,0.294736842105,5.05789473684,9.447368421050001,2.46842105263,0.105263157895,6.55789473684,2.11578947368,6.13684210526,12.231578947400001,4.51052631579,0,Games,non-agent,git-hub
400,0.428571428571,1.93956043956,8.04945054945,1.20411345411,0.5714285714289999,0.0,21.1428571429,72.5714285714,7.42857142857,0.0,24.714285714299997,5.42857142857,24.5714285714,53.714285714300004,0.5714285714289999,0,Games,non-agent,git-hub
403,1.65236051502,1.63725526106,9.94869471036,1.1621272724,1.6330472103,0.648068669528,4.17811158798,18.856223176,1.44206008584,0.210300429185,6.60300429185,0.987124463519,6.21459227468,17.394849785399998,11.967811158800002,0,Games,non-agent,git-hub
404,1.73529411765,1.60196155216,6.6436386616,1.5283490589200002,1.44117647059,0.558823529412,1.64705882353,12.382352941199999,4.82352941176,0.323529411765,6.3823529411800015,1.05882352941,5.5,22.794117647100002,1.82352941176,0,Games,non-agent,git-hub
405,1.3793103448299997,5.43093448824,60.5816164447,1.9270345536,2.65517241379,0.896551724138,5.0,148.137931034,15.7931034483,0.275862068966,11.275862069,3.2413793103400006,10.5172413793,87.724137931,14.517241379300001,0,Games,non-agent,git-hub
406,1.0,1.73992992604,12.558092113599999,2.02321598155,1.38888888889,0.388888888889,4.16666666667,44.6666666667,3.11111111111,0.111111111111,10.3888888889,0.833333333333,8.61111111111,35.277777777800004,7.666666666669999,0,Games,non-agent,git-hub
407,1.39058171745,1.45505719505,6.503196688430001,2.12772359734,1.48476454294,0.07756232686980001,4.6565096952900005,17.7645429363,1.7728531856,0.024930747922400003,7.313019390580001,1.67590027701,7.09141274238,24.526315789499996,32.8337950139,0,Games,non-agent,git-hub
408,4.64453125,2.68962577943,16.6735978368,1.24069508717,4.790625,0.88515625,3.82890625,45.99140625,2.16796875,0.53203125,7.53125,0.47421875,5.83984375,31.696875,23.52109375,0,Graphics,non-agent,git-hub
409,2.8239608802,3.4637188490800006,38.8638224866,1.49031097347,2.8459657701700003,0.533007334963,5.792176039119999,94.30929095350001,8.051344743280001,0.29706601467,10.389975550099999,6.19315403423,9.161369193150001,38.5488997555,31.366748166300006,0,Graphics,non-agent,git-hub
410,1.19311377246,1.60281866137,7.266303801989999,1.22438970746,1.11676646707,0.425149700599,5.326347305390001,16.4610778443,9.182634730539998,0.14520958083799998,7.1751497006,8.29491017964,6.6497005988,14.6062874251,4.79341317365,0,Graphics,non-agent,git-hub
