analizo_loc,analizo_rfc,analizo_npm,analizo_acc,analizo_dit,analizo_npa,analizo_anpm,analizo_cbo,analizo_mmloc,analizo_accm,analizo_noc,analizo__filename,analizo_noa,analizo__module,folder,analizo_lcom4,type,analizo_nom,analizo_amloc,analizo_sc
9,1,1,0,0,0,2,0,9,1,0,['NewCogniTAO/MoveToPlace/variables/VarOriginalGraph.cpp'],0,MoveToPlace/variables/VarOriginalGraph,Magneton2Year,1,Magneton,1,9,0
9,1,1,0,0,0,2,0,9,1,0,['NewCogniTAO/MoveToPlace/variables/VarSharedGraph.cpp'],0,MoveToPlace/variables/VarSharedGraph,Magneton2Year,1,Magneton,1,9,0
64,4,1,0,0,0,2,2,64,7,0,"['NewCogniTAO/RemovalOfRobot/boot/boot.cc', 'NewCogniTAO/RemovalOfRobot/boot/boot.h']",0,NewCogniTAO/RemovalOfRobot/boot/boot,Magneton2Year,1,Magneton,1,64,2
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/RemovalOfRobot/boot/define_domain.h'],0,RemovalOfRobot/boot/define_domain,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/RemovalOfRobot/conditions/domain_player/CndMiddleOfFrame.cpp'],0,RemovalOfRobot/conditions/domain_player/CndMiddleOfFrame,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/RemovalOfRobot/conditions/domain_player/CndPtzAtEndAndAllAnswered.cpp'],0,RemovalOfRobot/conditions/domain_player/CndPtzAtEndAndAllAnswered,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/RemovalOfRobot/conditions/domain_player/CndPtzAtStart.cpp'],0,RemovalOfRobot/conditions/domain_player/CndPtzAtStart,Magneton2Year,0,Magneton,0,0,0
72,1,1,0,0,0,2,0,72,15,0,['NewCogniTAO/RemovalOfRobot/environment/Rgb2Yuv.c'],0,NewCogniTAO/RemovalOfRobot/environment/Rgb2Yuv,Magneton2Year,1,Magneton,1,72,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/RemovalOfRobot/robot/RobotShrimp.cpp'],0,NewCogniTAO/RemovalOfRobot/robot/RobotShrimp,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/RemovalOfRobot/robot/devicesLib/BlobFinder.h', 'NewCogniTAO/RemovalOfRobot/robot/devicesLib/BlobFinder.cpp']",0,RemovalOfRobot/robot/devicesLib/BlobFinder,Magneton2Year,0,Magneton,0,0,0
