,player_fast_block_instructions_info_max,player_fast_block_instructions_info_min,player_fast_block_instructions_info_std,player_fast_block_instructions_info_sum,player_fast_blocks_sizes_info_max,player_fast_blocks_sizes_info_min,player_fast_blocks_sizes_info_std,player_fast_blocks_sizes_info_sum,player_fast_complex_mccabe,player_fast_number_of_CFG_nodes_that_return_a_value,player_fast_simple_mccabe,player_fast_system_calls_count,player_function_cc_radare2_max,player_function_cc_radare2_mean,player_function_cc_radare2_std,player_function_cc_radare2_sum,binary_player_number_lines,results_team,results_Unnamed: 0,results_loss,results_S,results_R,results_games,results_tie,results_win,results_win_diff,results_win_rate,results_goals_diff,results_loss_rate,results_rank
255,133.0,0.0,7.032698752989999,141307.0,400.0,0.0,25.097629619299997,434654.0,39604.0,2019.0,19820.0,0.0,159.0,5.359541984730001,10.679139104099999,7021.0,115047.0,harmony,180,3.0,1,8,4,1.0,0.0,-0.75,0.0,-1.75,0.75,0.0
256,100.0,0.0,7.230488220489999,170566.0,400.0,0.0,26.877020559499996,569257.0,46323.0,1453.0,26677.0,0.0,2.0,1.2,0.4,6.0,132687.0,fcportugal2000,1216,2.0,42,6,23,0.0,21.0,0.8260869565217391,0.9130434782608696,1.565217391304348,0.08695652173913042,1.0
257,118.0,0.0,4.63721054747,241853.0,400.0,0.0,17.9111443,797808.0,82394.0,2921.0,41502.0,0.0,376.0,7.56515957447,20.7562519585,17067.0,142901.0,respina2001,929,3.0,14,11,8,0.0,5.0,0.25,0.625,0.375,0.375,0.0
260,113.0,0.0,7.304491822739999,227437.0,400.0,0.0,26.2837602132,724371.0,60255.0,2279.0,33583.0,0.0,14.0,3.69565217391,3.49452718216,85.0,179664.0,fcportugal2000,1216,2.0,42,6,23,0.0,21.0,0.8260869565217391,0.9130434782608696,1.565217391304348,0.08695652173913042,1.0
261,,,,,,,,,,,,,481.0,9.46682098765,27.646335865900003,24538.0,252810.0,cyberoos2001,1027,2.0,15,4,7,0.0,5.0,0.42857142857142855,0.7142857142857143,1.5714285714285714,0.2857142857142857,0.0
263,116.0,0.0,7.480981094860001,85768.0,400.0,0.0,32.1853004076,295894.0,21312.0,825.0,9516.0,0.0,108.0,6.73048327138,10.381739766699999,3621.0,73548.0,ateam,930,1.0,9,1,4,1.0,2.0,0.25,0.5,2.0,0.25,0.0
264,100.0,0.0,6.957606405269999,23589.0,400.0,0.0,30.8897161601,86294.0,7918.0,132.0,2378.0,0.0,265.0,10.714285714299999,29.7931645359,900.0,20345.0,gemini,1032,4.0,71,8,32,10.0,18.0,0.4375,0.5625,1.96875,0.125,0.0
267,79.0,0.0,4.309629414280002,139273.0,382.0,0.0,18.9954148096,527755.0,70266.0,1486.0,30812.0,0.0,474.0,49.2554660529,129.97696213700002,42803.0,128219.0,storms,953,5.0,35,28,16,1.0,10.0,0.3125,0.625,0.4375,0.3125,0.0
268,95.0,0.0,4.512726047209999,111196.0,398.0,0.0,18.0497042116,393723.0,56522.0,923.0,21686.0,0.0,158.0,14.940695296500001,29.3568858839,7306.0,95457.0,opuci,78,1.0,0,2,1,0.0,0.0,-1.0,0.0,-2.0,1.0,0.0
269,,,,,,,,,,,,,68.0,3.83883751651,7.359636623130001,5812.0,143212.0,one2010,76,5.0,0,15,5,0.0,0.0,-1.0,0.0,-3.0,1.0,0.0
272,16.0,0.0,2.68598561613,7547.0,74.0,0.0,11.211169664000002,30705.0,4051.0,198.0,1913.0,0.0,64.0,5.0849056603800005,12.594636418,539.0,112486.0,itandroids,567,9.0,29,44,16,1.0,6.0,-0.1875,0.375,-0.9375,0.5625,0.0
273,,,,,,,,,,,,,60.0,6.82417582418,12.191776553499999,1242.0,500859.0,wrighteagle,1200,1.0,66,19,19,2.0,16.0,0.7894736842105263,0.8421052631578947,2.473684210526316,0.05263157894736842,2.0
274,73.0,0.0,3.961950684090001,116395.0,400.0,0.0,21.915345597199998,529292.0,60557.0,1365.0,26895.0,0.0,228.0,10.4707233065,21.501795600799998,9120.0,115540.0,gliders2012,885,6.0,39,32,20,4.0,10.0,0.2,0.5,0.35,0.3,0.0
276,,,,,,,,,,,,,312.0,7.23052270969,18.1086623552,65429.0,837935.0,riton,305,10.0,19,37,15,3.0,2.0,-0.5333333333333333,0.13333333333333333,-1.2,0.6666666666666666,0.0
277,,,,,,,,,,,,,4.0,2.5,1.5,10.0,518845.0,yushan2012,848,6.0,45,40,20,5.0,9.0,0.15,0.45,0.25,0.3,0.0
278,81.0,0.0,3.67388978789,308936.0,400.0,0.0,18.1154286503,1240201.0,150312.0,7635.0,72158.0,0.0,271.0,2.93760970161,8.5414784563,18410.0,312322.0,fcportugal,667,8.0,23,32,16,0.0,8.0,0.0,0.5,-0.5625,0.5,0.0
279,114.0,0.0,9.05399249434,27293.0,400.0,0.0,37.8424605348,103237.0,10684.0,683.0,4236.0,0.0,52.0,2.27967806841,4.64561513006,1133.0,217851.0,oxsy,302,10.0,15,32,13,0.0,3.0,-0.5384615384615384,0.2307692307692308,-1.3076923076923077,0.7692307692307693,0.0
281,,,,,,,,,,,,,8.0,4.5,3.5,9.0,875526.0,nadco,25,2.0,3,7,2,0.0,0.0,-1.0,0.0,-2.0,1.0,0.0
284,98.0,0.0,4.16510852074,538850.0,400.0,0.0,23.6111442954,2286620.0,264030.0,4341.0,127572.0,0.0,414.0,13.137326274000001,29.1792652418,39701.0,532238.0,axiom,457,10.0,19,30,16,1.0,5.0,-0.3125,0.3125,-0.6875,0.625,0.0
286,76.0,0.0,3.29431492628,149155.0,290.0,0.0,14.8257111604,579146.0,64906.0,4177.0,41770.0,0.0,103.0,2.05365853659,4.1263045275599985,7157.0,12416.0,gpr,369,3.0,3,6,5,1.0,1.0,-0.4,0.2,-0.6,0.6,0.0
288,,,,,,,,,,,,,147.0,16.3051948052,22.905601856100002,2511.0,108668.0,one,371,7.0,16,28,10,0.0,3.0,-0.4,0.3,-1.2,0.7,0.0
289,73.0,0.0,3.97353556717,117840.0,400.0,0.0,22.382218540500002,540614.0,61767.0,1402.0,27409.0,0.0,137.0,10.472222222200001,17.5236392367,9048.0,117804.0,tiji,652,9.0,35,38,18,1.0,8.0,-0.05555555555555555,0.4444444444444444,-0.16666666666666666,0.5,0.0
